@relation Data

@attribute MPG numeric
@attribute MPG_text {bad,good}
@attribute cylinders numeric
@attribute displacement numeric
@attribute horsepower numeric
@attribute weight numeric
@attribute acceleration numeric
@attribute model_year numeric
@attribute country_origin_code numeric
@attribute country_origin {USA,Asia,Europe}
@attribute car_name {'chevrolet chevelle malibu','buick skylark 320','plymouth satellite','amc rebel sst','ford torino','ford galaxie 500','chevrolet impala','plymouth fury iii','pontiac catalina','amc ambassador dpl','dodge challenger se','plymouth \'cuda 340','chevrolet monte carlo','buick estate wagon (sw)','toyota corona mark ii','plymouth duster','amc hornet','ford maverick','datsun pl510','volkswagen 1131 deluxe sedan','peugeot 504','audi 100 ls','saab 99e','bmw 2002','amc gremlin','ford f250','chevy c20','dodge d200','hi 1200d','chevrolet vega 2300','toyota corona','ford pinto','plymouth satellite custom','ford torino 500','amc matador','pontiac catalina brougham','dodge monaco (sw)','ford country squire (sw)','pontiac safari (sw)','amc hornet sportabout (sw)','chevrolet vega (sw)','pontiac firebird','ford mustang','mercury capri 2000','opel 1900','peugeot 304','fiat 124b','toyota corolla 1200','datsun 1200','volkswagen model 111','plymouth cricket','toyota corona hardtop','dodge colt hardtop','volkswagen type 3','chevrolet vega','ford pinto runabout','amc ambassador sst','mercury marquis','buick lesabre custom','oldsmobile delta 88 royale','chrysler newport royal','mazda rx2 coupe','amc matador (sw)','chevrolet chevelle concours (sw)','ford gran torino (sw)','plymouth satellite custom (sw)','volvo 145e (sw)','volkswagen 411 (sw)','peugeot 504 (sw)','renault 12 (sw)','ford pinto (sw)','datsun 510 (sw)','toyouta corona mark ii (sw)','dodge colt (sw)','toyota corolla 1600 (sw)','buick century 350','chevrolet malibu','ford gran torino','dodge coronet custom','mercury marquis brougham','chevrolet caprice classic','ford ltd','plymouth fury gran sedan','chrysler new yorker brougham','buick electra 225 custom','amc ambassador brougham','plymouth valiant','chevrolet nova custom','volkswagen super beetle','ford country','plymouth custom suburb','oldsmobile vista cruiser','toyota carina','datsun 610','maxda rx3','mercury capri v6','fiat 124 sport coupe','chevrolet monte carlo s','pontiac grand prix','fiat 128','opel manta','audi 100ls','volvo 144ea','dodge dart custom','saab 99le','toyota mark ii','oldsmobile omega','chevrolet nova','datsun b210','chevrolet chevelle malibu classic','plymouth satellite sebring','buick century luxus (sw)','dodge coronet custom (sw)','audi fox','volkswagen dasher','datsun 710','dodge colt','fiat 124 tc','honda civic',subaru,'fiat x1.9','plymouth valiant custom','mercury monarch','chevrolet bel air','plymouth grand fury','buick century','chevroelt chevelle malibu','plymouth fury','buick skyhawk','chevrolet monza 2+2','ford mustang ii','toyota corolla','pontiac astro','volkswagen rabbit','amc pacer','volvo 244dl','honda civic cvcc','fiat 131','capri ii','renault 12tl','dodge coronet brougham','chevrolet chevette','chevrolet woody','vw rabbit','dodge aspen se','ford granada ghia','pontiac ventura sj','amc pacer d/l','datsun b-210','volvo 245','plymouth volare premier v8','mercedes-benz 280s','cadillac seville','chevy c10','ford f108','dodge d100','honda accord cvcc','buick opel isuzu deluxe','renault 5 gtl','plymouth arrow gs','datsun f-10 hatchback','oldsmobile cutlass supreme','dodge monaco brougham','mercury cougar brougham','chevrolet concours','buick skylark','plymouth volare custom','ford granada','pontiac grand prix lj','chevrolet monte carlo landau','chrysler cordoba','ford thunderbird','volkswagen rabbit custom','pontiac sunbird coupe','toyota corolla liftback','ford mustang ii 2+2','dodge colt m/m','subaru dl','datsun 810','bmw 320i','mazda rx-4','volkswagen rabbit custom diesel','ford fiesta','mazda glc deluxe','datsun b210 gx','oldsmobile cutlass salon brougham','dodge diplomat','mercury monarch ghia','pontiac phoenix lj','ford fairmont (auto)','ford fairmont (man)','plymouth volare','amc concord','buick century special','mercury zephyr','dodge aspen','amc concord d/l','buick regal sport coupe (turbo)','ford futura','dodge magnum xe','datsun 510','dodge omni','toyota celica gt liftback','plymouth sapporo','oldsmobile starfire sx','datsun 200-sx','audi 5000','volvo 264gl','saab 99gle','peugeot 604sl','volkswagen scirocco','honda accord lx','pontiac lemans v6','mercury zephyr 6','ford fairmont 4','amc concord dl 6','dodge aspen 6','ford ltd landau','mercury grand marquis','dodge st. regis','chevrolet malibu classic (sw)','chrysler lebaron town @ country (sw)','vw rabbit custom','maxda glc deluxe','dodge colt hatchback custom','amc spirit dl','mercedes benz 300d','cadillac eldorado','plymouth horizon','plymouth horizon tc3','datsun 210','fiat strada custom','buick skylark limited','chevrolet citation','oldsmobile omega brougham','pontiac phoenix','toyota corolla tercel','datsun 310','ford fairmont','audi 4000','toyota corona liftback','mazda 626','datsun 510 hatchback','mazda glc','vw rabbit c (diesel)','vw dasher (diesel)','audi 5000s (diesel)','mercedes-benz 240d','honda civic 1500 gl','renault lecar deluxe','vokswagen rabbit','datsun 280-zx','mazda rx-7 gs','triumph tr7 coupe','ford mustang cobra','honda accord','plymouth reliant','dodge aries wagon (sw)','toyota starlet','plymouth champ','honda civic 1300','datsun 210 mpg','toyota tercel','mazda glc 4','plymouth horizon 4','ford escort 4w','ford escort 2h','volkswagen jetta','renault 18i','honda prelude','datsun 200sx','peugeot 505s turbo diesel','volvo diesel','toyota cressida','datsun 810 maxima','oldsmobile cutlass ls','ford granada gl','chrysler lebaron salon','chevrolet cavalier','chevrolet cavalier wagon','chevrolet cavalier 2-door','pontiac j2000 se hatchback','dodge aries se','ford fairmont futura','amc concord dl','volkswagen rabbit l','mazda glc custom l','mazda glc custom','plymouth horizon miser','mercury lynx l','nissan stanza xe','honda civic (auto)','datsun 310 gx','buick century limited','oldsmobile cutlass ciera (diesel)','chrysler lebaron medallion','ford granada l','toyota celica gt','dodge charger 2.2','chevrolet camaro','ford mustang gl','vw pickup','dodge rampage','ford ranger','chevy s-10'}

@data
23,good,4,120,97,2506,14.5,72,3,Asia,'toyouta corona mark ii (sw)'
28,good,4,98,80,2164,15,72,1,USA,'dodge colt (sw)'
27,good,4,97,88,2100,16.5,72,3,Asia,'toyota corolla 1600 (sw)'
13,bad,8,350,175,4100,13,73,1,USA,'buick century 350'
14,bad,8,304,150,3672,11.5,73,1,USA,'amc matador'
13,bad,8,350,145,3988,13,73,1,USA,'chevrolet malibu'
14,bad,8,302,137,4042,14.5,73,1,USA,'ford gran torino'
15,bad,8,318,150,3777,12.5,73,1,USA,'dodge coronet custom'
12,bad,8,429,198,4952,11.5,73,1,USA,'mercury marquis brougham'
13,bad,8,400,150,4464,12,73,1,USA,'chevrolet caprice classic'
13,bad,8,351,158,4363,13,73,1,USA,'ford ltd'
14,bad,8,318,150,4237,14.5,73,1,USA,'plymouth fury gran sedan'
13,bad,8,440,215,4735,11,73,1,USA,'chrysler new yorker brougham'
12,bad,8,455,225,4951,11,73,1,USA,'buick electra 225 custom'
13,bad,8,360,175,3821,11,73,1,USA,'amc ambassador brougham'
18,bad,6,225,105,3121,16.5,73,1,USA,'plymouth valiant'
16,bad,6,250,100,3278,18,73,1,USA,'chevrolet nova custom'
18,bad,6,232,100,2945,16,73,1,USA,'amc hornet'
18,bad,6,250,88,3021,16.5,73,1,USA,'ford maverick'
23,good,6,198,95,2904,16,73,1,USA,'plymouth duster'
26,good,4,97,46,1950,21,73,2,Europe,'volkswagen super beetle'
11,bad,8,400,150,4997,14,73,1,USA,'chevrolet impala'
12,bad,8,400,167,4906,12.5,73,1,USA,'ford country'
13,bad,8,360,170,4654,13,73,1,USA,'plymouth custom suburb'
12,bad,8,350,180,4499,12.5,73,1,USA,'oldsmobile vista cruiser'
18,bad,6,232,100,2789,15,73,1,USA,'amc gremlin'
20,good,4,97,88,2279,19,73,3,Asia,'toyota carina'
21,good,4,140,72,2401,19.5,73,1,USA,'chevrolet vega'
22,good,4,108,94,2379,16.5,73,3,Asia,'datsun 610'
18,bad,3,70,90,2124,13.5,73,3,Asia,'maxda rx3'
19,bad,4,122,85,2310,18.5,73,1,USA,'ford pinto'
21,good,6,155,107,2472,14,73,1,USA,'mercury capri v6'
26,good,4,98,90,2265,15.5,73,2,Europe,'fiat 124 sport coupe'
15,bad,8,350,145,4082,13,73,1,USA,'chevrolet monte carlo s'
16,bad,8,400,230,4278,9.5,73,1,USA,'pontiac grand prix'
29,good,4,68,49,1867,19.5,73,2,Europe,'fiat 128'
24,good,4,116,75,2158,15.5,73,2,Europe,'opel manta'
20,good,4,114,91,2582,14,73,2,Europe,'audi 100ls'
19,bad,4,121,112,2868,15.5,73,2,Europe,'volvo 144ea'
15,bad,8,318,150,3399,11,73,1,USA,'dodge dart custom'
24,good,4,121,110,2660,14,73,2,Europe,'saab 99le'
20,good,6,156,122,2807,13.5,73,3,Asia,'toyota mark ii'
11,bad,8,350,180,3664,11,73,1,USA,'oldsmobile omega'
20,good,6,198,95,3102,16.5,74,1,USA,'plymouth duster'
21,good,6,200,?,2875,17,74,1,USA,'ford maverick'
19,bad,6,232,100,2901,16,74,1,USA,'amc hornet'
15,bad,6,250,100,3336,17,74,1,USA,'chevrolet nova'
31,good,4,79,67,1950,19,74,3,Asia,'datsun b210'
26,good,4,122,80,2451,16.5,74,1,USA,'ford pinto'
32,good,4,71,65,1836,21,74,3,Asia,'toyota corolla 1200'
25,good,4,140,75,2542,17,74,1,USA,'chevrolet vega'
16,bad,6,250,100,3781,17,74,1,USA,'chevrolet chevelle malibu classic'
16,bad,6,258,110,3632,18,74,1,USA,'amc matador'
18,bad,6,225,105,3613,16.5,74,1,USA,'plymouth satellite sebring'
16,bad,8,302,140,4141,14,74,1,USA,'ford gran torino'
13,bad,8,350,150,4699,14.5,74,1,USA,'buick century luxus (sw)'
14,bad,8,318,150,4457,13.5,74,1,USA,'dodge coronet custom (sw)'
14,bad,8,302,140,4638,16,74,1,USA,'ford gran torino (sw)'
14,bad,8,304,150,4257,15.5,74,1,USA,'amc matador (sw)'
29,good,4,98,83,2219,16.5,74,2,Europe,'audi fox'
26,good,4,79,67,1963,15.5,74,2,Europe,'volkswagen dasher'
26,good,4,97,78,2300,14.5,74,2,Europe,'opel manta'
31,good,4,76,52,1649,16.5,74,3,Asia,'toyota corona'
32,good,4,83,61,2003,19,74,3,Asia,'datsun 710'
28,good,4,90,75,2125,14.5,74,1,USA,'dodge colt'
24,good,4,90,75,2108,15.5,74,2,Europe,'fiat 128'
26,good,4,116,75,2246,14,74,2,Europe,'fiat 124 tc'
24,good,4,120,97,2489,15,74,3,Asia,'honda civic'
26,good,4,108,93,2391,15.5,74,3,Asia,subaru
31,good,4,79,67,2000,16,74,2,Europe,'fiat x1.9'
19,bad,6,225,95,3264,16,75,1,USA,'plymouth valiant custom'
18,bad,6,250,105,3459,16,75,1,USA,'chevrolet nova'
15,bad,6,250,72,3432,21,75,1,USA,'mercury monarch'
15,bad,6,250,72,3158,19.5,75,1,USA,'ford maverick'
16,bad,8,400,170,4668,11.5,75,1,USA,'pontiac catalina'
15,bad,8,350,145,4440,14,75,1,USA,'chevrolet bel air'
16,bad,8,318,150,4498,14.5,75,1,USA,'plymouth grand fury'
14,bad,8,351,148,4657,13.5,75,1,USA,'ford ltd'
17,bad,6,231,110,3907,21,75,1,USA,'buick century'
16,bad,6,250,105,3897,18.5,75,1,USA,'chevroelt chevelle malibu'
15,bad,6,258,110,3730,19,75,1,USA,'amc matador'
18,bad,6,225,95,3785,19,75,1,USA,'plymouth fury'
21,good,6,231,110,3039,15,75,1,USA,'buick skyhawk'
20,good,8,262,110,3221,13.5,75,1,USA,'chevrolet monza 2+2'
13,bad,8,302,129,3169,12,75,1,USA,'ford mustang ii'
29,good,4,97,75,2171,16,75,3,Asia,'toyota corolla'
23,good,4,140,83,2639,17,75,1,USA,'ford pinto'
20,good,6,232,100,2914,16,75,1,USA,'amc gremlin'
23,good,4,140,78,2592,18.5,75,1,USA,'pontiac astro'
24,good,4,134,96,2702,13.5,75,3,Asia,'toyota corona'
25,good,4,90,71,2223,16.5,75,2,Europe,'volkswagen dasher'
24,good,4,119,97,2545,17,75,3,Asia,'datsun 710'
18,bad,6,171,97,2984,14.5,75,1,USA,'ford pinto'
29,good,4,90,70,1937,14,75,2,Europe,'volkswagen rabbit'
19,bad,6,232,90,3211,17,75,1,USA,'amc pacer'
23,good,4,115,95,2694,15,75,2,Europe,'audi 100ls'
23,good,4,120,88,2957,17,75,2,Europe,'peugeot 504'
22,good,4,121,98,2945,14.5,75,2,Europe,'volvo 244dl'
25,good,4,121,115,2671,13.5,75,2,Europe,'saab 99le'
33,good,4,91,53,1795,17.5,75,3,Asia,'honda civic cvcc'
28,good,4,107,86,2464,15.5,76,2,Europe,'fiat 131'
25,good,4,116,81,2220,16.9,76,2,Europe,'opel 1900'
25,good,4,140,92,2572,14.9,76,1,USA,'capri ii'
26,good,4,98,79,2255,17.7,76,1,USA,'dodge colt'
27,good,4,101,83,2202,15.3,76,2,Europe,'renault 12tl'
17.5,bad,8,305,140,4215,13,76,1,USA,'chevrolet chevelle malibu classic'
16,bad,8,318,150,4190,13,76,1,USA,'dodge coronet brougham'
15.5,bad,8,304,120,3962,13.9,76,1,USA,'amc matador'
14.5,bad,8,351,152,4215,12.8,76,1,USA,'ford gran torino'
22,good,6,225,100,3233,15.4,76,1,USA,'plymouth valiant'
22,good,6,250,105,3353,14.5,76,1,USA,'chevrolet nova'
24,good,6,200,81,3012,17.6,76,1,USA,'ford maverick'
22.5,good,6,232,90,3085,17.6,76,1,USA,'amc hornet'
29,good,4,85,52,2035,22.2,76,1,USA,'chevrolet chevette'
24.5,good,4,98,60,2164,22.1,76,1,USA,'chevrolet woody'
29,good,4,90,70,1937,14.2,76,2,Europe,'vw rabbit'
33,good,4,91,53,1795,17.4,76,3,Asia,'honda civic'
20,good,6,225,100,3651,17.7,76,1,USA,'dodge aspen se'
18,bad,6,250,78,3574,21,76,1,USA,'ford granada ghia'
18.5,bad,6,250,110,3645,16.2,76,1,USA,'pontiac ventura sj'
17.5,bad,6,258,95,3193,17.8,76,1,USA,'amc pacer d/l'
29.5,good,4,97,71,1825,12.2,76,2,Europe,'volkswagen rabbit'
32,good,4,85,70,1990,17,76,3,Asia,'datsun b-210'
28,good,4,97,75,2155,16.4,76,3,Asia,'toyota corolla'
26.5,good,4,140,72,2565,13.6,76,1,USA,'ford pinto'
20,good,4,130,102,3150,15.7,76,2,Europe,'volvo 245'
13,bad,8,318,150,3940,13.2,76,1,USA,'plymouth volare premier v8'
19,bad,4,120,88,3270,21.9,76,2,Europe,'peugeot 504'
19,bad,6,156,108,2930,15.5,76,3,Asia,'toyota mark ii'
16.5,bad,6,168,120,3820,16.7,76,2,Europe,'mercedes-benz 280s'
16.5,bad,8,350,180,4380,12.1,76,1,USA,'cadillac seville'
13,bad,8,350,145,4055,12,76,1,USA,'chevy c10'
13,bad,8,302,130,3870,15,76,1,USA,'ford f108'
13,bad,8,318,150,3755,14,76,1,USA,'dodge d100'
31.5,good,4,98,68,2045,18.5,77,3,Asia,'honda accord cvcc'
30,good,4,111,80,2155,14.8,77,1,USA,'buick opel isuzu deluxe'
36,good,4,79,58,1825,18.6,77,2,Europe,'renault 5 gtl'
25.5,good,4,122,96,2300,15.5,77,1,USA,'plymouth arrow gs'
33.5,good,4,85,70,1945,16.8,77,3,Asia,'datsun f-10 hatchback'
17.5,bad,8,305,145,3880,12.5,77,1,USA,'chevrolet caprice classic'
17,bad,8,260,110,4060,19,77,1,USA,'oldsmobile cutlass supreme'
15.5,bad,8,318,145,4140,13.7,77,1,USA,'dodge monaco brougham'
15,bad,8,302,130,4295,14.9,77,1,USA,'mercury cougar brougham'
17.5,bad,6,250,110,3520,16.4,77,1,USA,'chevrolet concours'
20.5,good,6,231,105,3425,16.9,77,1,USA,'buick skylark'
19,bad,6,225,100,3630,17.7,77,1,USA,'plymouth volare custom'
18.5,bad,6,250,98,3525,19,77,1,USA,'ford granada'
16,bad,8,400,180,4220,11.1,77,1,USA,'pontiac grand prix lj'
15.5,bad,8,350,170,4165,11.4,77,1,USA,'chevrolet monte carlo landau'
15.5,bad,8,400,190,4325,12.2,77,1,USA,'chrysler cordoba'
16,bad,8,351,149,4335,14.5,77,1,USA,'ford thunderbird'
29,good,4,97,78,1940,14.5,77,2,Europe,'volkswagen rabbit custom'
24.5,good,4,151,88,2740,16,77,1,USA,'pontiac sunbird coupe'
26,good,4,97,75,2265,18.2,77,3,Asia,'toyota corolla liftback'
25.5,good,4,140,89,2755,15.8,77,1,USA,'ford mustang ii 2+2'
